DATE,ARGCCUSMA02STM
1960-01-01,0.0
1960-02-01,0.0
1960-03-01,0.0
1960-04-01,0.0
1960-05-01,0.0
1960-06-01,0.0
1960-07-01,0.0
1960-08-01,0.0
1960-09-01,0.0
1960-10-01,0.0
1960-11-01,0.0
1960-12-01,0.0
1961-01-01,0.0
1961-02-01,0.0
1961-03-01,0.0
1961-04-01,0.0
1961-05-01,0.0
1961-06-01,0.0
1961-07-01,0.0
1961-08-01,0.0
1961-09-01,0.0
1961-10-01,0.0
1961-11-01,0.0
1961-12-01,0.0
1962-01-01,0.0
1962-02-01,0.0
1962-03-01,0.0
1962-04-01,0.0
1962-05-01,0.000000000011479999999900000000
1962-06-01,0.000000000013500000000000000000
1962-07-01,0.000000000011870000000000000000
1962-08-01,0.000000000012620000000000000000
1962-09-01,0.000000000012879999999900000000
1962-10-01,0.000000000014000000000000000000
1962-11-01,0.000000000014839999999900000000
1962-12-01,0.000000000013409999999900000000
1963-01-01,0.000000000013450000000000000000
1963-02-01,0.000000000013520000000000000000
1963-03-01,0.000000000014050000000000000000
1963-04-01,0.000000000013720000000000000000
1963-05-01,0.000000000013879999999900000000
1963-06-01,0.000000000013889999999900000000
1963-07-01,0.000000000013459999999900000000
1963-08-01,0.000000000013470000000000000000
1963-09-01,0.000000000014979999999900000000
1963-10-01,0.000000000014689999999900000000
1963-11-01,0.000000000014100000000000000000
1963-12-01,0.000000000013250000000000000000
1964-01-01,0.000000000013209999999900000000
1964-02-01,0.000000000013209999999900000000
1964-03-01,0.000000000013850000000000000000
1964-04-01,0.000000000013700000000000000000
1964-05-01,0.000000000013700000000000000000
1964-06-01,0.000000000013759999999900000000
1964-07-01,0.000000000013789999999900000000
1964-08-01,0.000000000014350000000000000000
1964-09-01,0.000000000014350000000000000000
1964-10-01,0.000000000014450000000000000000
1964-11-01,0.000000000015009999999900000000
1964-12-01,0.000000000015089999999900000000
1965-01-01,0.000000000015000000000000000000
1965-02-01,0.000000000015079999999900000000
1965-03-01,0.000000000015000000000000000000
1965-04-01,0.000000000017150000000000000000
1965-05-01,0.000000000017150000000000000000
1965-06-01,0.000000000017150000000000000000
1965-07-01,0.000000000017159999999900000000
1965-08-01,0.000000000017150000000000000000
1965-09-01,0.000000000017889999999900000000
1965-10-01,0.000000000018050000000000000000
1965-11-01,0.000000000017850000000000000000
1965-12-01,0.000000000018850000000000000000
1966-01-01,0.000000000018929999999900000000
1966-02-01,0.000000000018850000000000000000
1966-03-01,0.000000000018850000000000000000
1966-04-01,0.000000000018950000000000000000
1966-05-01,0.000000000020250000000000000000
1966-06-01,0.000000000020479999999900000000
1966-07-01,0.000000000020250000000000000000
1966-08-01,0.000000000021550000000000000000
1966-09-01,0.000000000021750000000000000000
1966-10-01,0.000000000021839999999900000000
1966-11-01,0.000000000024550000000000000000
1966-12-01,0.000000000024729999999900000000
1967-01-01,0.000000000024559999999900000000
1967-02-01,0.000000000025550000000000000000
1967-03-01,0.000000000035000000000000000000
1967-04-01,0.000000000035000000000000000000
1967-05-01,0.000000000035000000000000000000
1967-06-01,0.000000000035000000000000000000
1967-07-01,0.000000000035000000000000000000
1967-08-01,0.000000000035000000000000000000
1967-09-01,0.000000000035000000000000000000
1967-10-01,0.000000000035000000000000000000
1967-11-01,0.000000000035000000000000000000
1967-12-01,0.000000000035000000000000000000
1968-01-01,0.000000000035000000000000000000
1968-02-01,0.000000000035000000000000000000
1968-03-01,0.000000000035000000000000000000
1968-04-01,0.000000000035000000000000000000
1968-05-01,0.000000000035000000000000000000
1968-06-01,0.000000000035000000000000000000
1968-07-01,0.000000000035000000000000000000
1968-08-01,0.000000000035000000000000000000
1968-09-01,0.000000000035000000000000000000
1968-10-01,0.000000000035000000000000000000
1968-11-01,0.000000000035000000000000000000
1968-12-01,0.000000000035000000000000000000
1969-01-01,0.000000000035000000000000000000
1969-02-01,0.000000000035000000000000000000
1969-03-01,0.000000000035000000000000000000
1969-04-01,0.000000000035000000000000000000
1969-05-01,0.000000000035000000000000000000
1969-06-01,0.000000000035000000000000000000
1969-07-01,0.000000000035000000000000000000
1969-08-01,0.000000000035000000000000000000
1969-09-01,0.000000000035000000000000000000
1969-10-01,0.000000000035000000000000000000
1969-11-01,0.000000000035000000000000000000
1969-12-01,0.000000000035000000000000000000
1970-01-01,0.000000000034999999990000000000
1970-02-01,0.000000000034999999990000000000
1970-03-01,0.000000000034999999990000000000
1970-04-01,0.000000000034999999990000000000
1970-05-01,0.000000000034999999990000000000
1970-06-01,0.000000000039999999990000000000
1970-07-01,0.000000000039999999990000000000
1970-08-01,0.000000000039999999990000000000
1970-09-01,0.000000000039999999990000000000
1970-10-01,0.000000000039999999990000000000
1970-11-01,0.000000000039999999990000000000
1970-12-01,0.000000000039999999990000000000
1971-01-01,0.000000000039999999990000000000
1971-02-01,0.000000000039999999990000000000
1971-03-01,0.000000000039999999990000000000
1971-04-01,0.000000000040399999990000000000
1971-05-01,0.000000000041199999990000000000
1971-06-01,0.000000000043999999990000000000
1971-07-01,0.000000000046999999990000000000
1971-08-01,0.000000000049999999990000000000
1971-09-01,0.000000000049999999990000000000
1971-10-01,0.000000000049999999990000000000
1971-11-01,0.000000000049999999990000000000
1971-12-01,0.000000000049999999990000000000
1972-01-01,0.000000000049999999990000000000
1972-02-01,0.000000000049999999990000000000
1972-03-01,0.000000000049999999990000000000
1972-04-01,0.000000000049999999990000000000
1972-05-01,0.000000000049999999990000000000
1972-06-01,0.000000000049999999990000000000
1972-07-01,0.000000000049999999990000000000
1972-08-01,0.000000000049999999990000000000
1972-09-01,0.000000000049999999990000000000
1972-10-01,0.000000000049999999990000000000
1972-11-01,0.000000000049999999990000000000
1972-12-01,0.000000000049999999990000000000
1973-01-01,0.000000000049999999990000000000
1973-02-01,0.000000000049999999990000000000
1973-03-01,0.000000000049999999990000000000
1973-04-01,0.000000000049999999990000000000
1973-05-01,0.000000000049999999990000000000
1973-06-01,0.000000000049999999990000000000
1973-07-01,0.000000000049999999990000000000
1973-08-01,0.000000000049999999990000000000
1973-09-01,0.000000000049999999990000000000
1973-10-01,0.000000000049999999990000000000
1973-11-01,0.000000000049999999990000000000
1973-12-01,0.000000000049999999990000000000
1974-01-01,0.000000000049999999990000000000
1974-02-01,0.000000000049999999990000000000
1974-03-01,0.000000000049999999990000000000
1974-04-01,0.000000000049999999990000000000
1974-05-01,0.000000000049999999990000000000
1974-06-01,0.000000000049999999990000000000
1974-07-01,0.000000000049999999990000000000
1974-08-01,0.000000000049999999990000000000
1974-09-01,0.000000000049999999990000000000
1974-10-01,0.000000000049999999990000000000
1974-11-01,0.000000000049999999990000000000
1974-12-01,0.000000000049999999990000000000
1975-01-01,0.000000000100000000000000000000
1975-02-01,0.000000000100000000000000000000
1975-03-01,0.000000000150999999990000000000
1975-04-01,0.000000000150999999990000000000
1975-05-01,0.000000000150999999990000000000
1975-06-01,0.000000000279000000000000000000
1975-07-01,0.000000000327999999990000000000
1975-08-01,0.000000000377999999990000000000
1975-09-01,0.000000000553999999990000000000
1975-10-01,0.000000000680000000000000000000
1975-11-01,0.000000000725000000000000000000
1975-12-01,0.000000000792000000000000000000
1976-01-01,0.000000000897000000000000000000
1976-02-01,0.000000000987999999990000000000
1976-03-01,0.000000001065
1976-04-01,0.000000001357
1976-05-01,0.0000000014
1976-06-01,0.0000000014
1976-07-01,0.0000000014
1976-08-01,0.0000000014
1976-09-01,0.0000000014
1976-10-01,0.0000000014
1976-11-01,0.0000000014
1976-12-01,0.000000002690999999990000000000
1977-01-01,0.00000000284
1977-02-01,0.000000003022
1977-03-01,0.000000003252999999990000000000
1977-04-01,0.00000000345
1977-05-01,0.00000000363
1977-06-01,0.00000000382
1977-07-01,0.000000004018999999990000000000
1977-08-01,0.00000000426
1977-09-01,0.000000004548999999990000000000
1977-10-01,0.000000004938999999990000000000
1977-11-01,0.000000005366000000010000000000
1977-12-01,0.000000005767999999970000000000
1978-01-01,0.000000006205
1978-02-01,0.000000006625
1978-03-01,0.000000007012000000020000000000
1978-04-01,0.00000000742
1978-05-01,0.000000007722000000020000000000
1978-06-01,0.000000007851000000010000000000
1978-07-01,0.000000007982000000020000000000
1978-08-01,0.000000008192999999970000000000
1978-09-01,0.000000008492999999970000000000
1978-10-01,0.000000008858999999980000000000
1978-11-01,0.000000009341999999950000000000
1978-12-01,0.000000009786000000010000000000
1979-01-01,0.000000010381000000010000000000
1979-02-01,0.000000010787999999970000000000
1979-03-01,0.000000011366999999950000000000
1979-04-01,0.000000011827999999970000000000
1979-05-01,0.00000001238
1979-06-01,0.00000001292
1979-07-01,0.000000013447999999970000000000
1979-08-01,0.000000013977999999970000000000
1979-09-01,0.000000014497999999970000000000
1979-10-01,0.000000014991999999950000000000
1979-11-01,0.000000015486999999950000000000
1979-12-01,0.000000015968999999980000000000
1980-01-01,0.000000016425
1980-02-01,0.000000016861000000010000000000
1980-03-01,0.000000017261999999950000000000
1980-04-01,0.00000001768
1980-05-01,0.000000018031000000010000000000
1980-06-01,0.000000018393999999980000000000
1980-07-01,0.0000000187
1980-08-01,0.000000018981999999950000000000
1980-09-01,0.000000019228999999980000000000
1980-10-01,0.000000019433999999980000000000
1980-11-01,0.000000019631000000010000000000
1980-12-01,0.00000001983
1981-01-01,0.000000020113999999980000000000
1981-02-01,0.000000022427999999970000000000
1981-03-01,0.000000023326999999950000000000
